,,,,,,,,,,,,,,,
organisationunitname,November 2018 Currently on ART - below 1 year,November 2018 Currently on ART - Female above 15 years,November 2018 Currently on ART - Female Below 15 years,November 2018 Currently on ART - Male above 15 years,November 2018 Currently on ART - Male below 15 years,November 2018 MOH 731   On ART_<1       HV03-028,November 2018 MOH 731   On ART_1-9       HV03-029,November 2018 MOH 731   On ART_10-14  (F)         HV03-031,November 2018 MOH 731   On ART_10-14(M)         HV03-030,November 2018 MOH 731   On ART_15-19  (F)         HV03-033,November 2018 MOH 731   On ART_15-19(M)         HV03-032,November 2018 MOH 731   On ART_20-24  (F)         HV03-035,November 2018 MOH 731   On ART_20-24(M)         HV03-034,November 2018 MOH 731   On ART_25+  (F)         HV03-037,November 2018 MOH 731   On ART_25+(M)         HV03-036
Chebon Medical Clinic,,1,,,,,,,,,,,,,
Chebukaka Health Centre,,12,,6,2,,,,,,,,,,
Chebukutumi Dispensary,,3,,,,,,,,,,,,,
Chebukwabi Dispensary,,2,,,,,,,,,,,,,
Checkpoint Royal Hope Medical Cl,,,,,,,,,,,,,,,
Chemoge Dispensary,,,,,,,,,,,,,,,
Chemses Dispensary,,,,,,,,,,,,,,,
Chemwa Bridge Dispensary,,34,1,13,1,,,,,,,,,,
Chemworemwo Dispensary,,1,,,,,,,,,,,,,
Chepkerer Dispensary,,1,,,,,,,,,,,,,
Chepkitale Dispensary,,,,,,,,,,,,,,,
Chepkube Dispensary,,13,,3,1,,,,,,,,,,
Cheptais Medical Clinic,,,,,,,,,,,,,,,
Cheptais Sub County Hospital,,352,32,133,23,,,,,,,,,,
Chesikaki Dispensary,,71,6,19,4,,,,,,,,,,
Chesinende Dispensary,,8,,1,,,,,,,,,,,
Chrizah Medical Clinic,,,,,,,,,,,,,,,
Chwele Friends Dispensary,,363,35,146,27,,,,,,,,,,
Chwele Sub County Hospital,,432,30,152,29,,,,,,,,,,
Creadis HTC Centre,,,,,,,,,,,,,,,
Daraja Mungu Dispensary,,,,,,,,,,,,,,,
Domiciliary Health Care Medical Clinic,,,,,,,,,,,,,,,
Dunton Medical Care Centre,,,,,,,,,,,,,,,
Durham Medical Center- Webuye,,,,,,,,,,,,,,,
Ebenezer Nursing Home,,,,,,,,,,,,,,,
Edesa Medicare Bungoma,,,,,,,,,,,,,,,
Ekitale Dispensary,,50,,11,4,,,,,,,,,,
Elgon View Medical Cottage,,78,,54,1,,,,,,,,,,
Elite Medical Clinic (Bungoma East),,,,,,,,,,,,,,,
Eluuya Dispensary,,,,,,,,,,,,,,,
Emmanuel Medical Clinic (Bungoma East),1,23,1,6,3,,,,,,,,,,
Fountain Healthcare Limited (Bungoma),,,,,,,,,,,,,,,
GK Prison Dispensary ( Bungoma South),,21,1,44,,,,,,,,,,,
Global Homecare Limited Medical Centre,,,,,,,,,,,,,,,
Grace Medical Care Centre,,,,,,,,,,,,,,,
Grassroot Community Health Services,,,,,,,,,,,,,,,
Highway Diagnostic Clinic,,,,,,,,,,,,,,,
Highway Medical Clinic (Bungoma East),,,,,,,,,,,,,,,
Holy Care Medical Clinic,,,,,,,,,,,,,,,
Huduma Center Bungoma,,,,,,,,,,,,,,,
ICFM Dreamland Mission Hospital,,90,5,40,4,,,,,,,,,,
Jaggery Medical Clinic,,3,,1,,,,,,,,,,,
Jordan Baptist Medical Clinic,,,,,,,,,,,,,,,
Kaborom Dispensary,,37,2,16,1,,,,,,,,,,
Kaboywo Dispensary,,20,2,7,1,,,,,,,,,,
Kabuchai Health Centre,,153,8,51,9,,,,,,,,,,
Kabula  Health Centre,1,179,17,66,10,,,,,,,,,,
Kakimanyi Dispensary,,,,,,,,,,,,,,,
Kamasielo Dispensary,,7,,3,,,,,,,,,,,
kambini Dispensary,,3,,,,,,,,,,,,,
Kamenjo Dispensary,,11,1,,,,,,,,,,,,
Kamukuywa (ACK) Dispensary,,56,10,13,9,,,,,,,,,,
Kamukuywa Dispensary,,72,4,14,7,,,,,,,,,,
Kamuneru Dispensary,,14,2,5,2,,,,,,,,,,
Kamusinde Dispensary,,,,,,,,,,,,,,,
Kanduyi Health Center (CWSK),,,,,,,,,,,,,,,
Kanganga Dispensary,,42,3,9,2,,,,,,,,,,
Kapchebon Dispensary,,,,,,,,,,,,,,,
Kapkateny Dispensary,,42,4,24,3,,,,,,,,,,
Kapkota Dispensary,,,,,,,,,,,,,,,
Kapsambu Dispensary,,8,3,5,,,,,,,,,,,
Kaptalelio Dispensary,,4,,3,1,,,,,,,,,,
Kaptama (Friends) Health Centre,,81,5,29,7,,,,,,,,,,
Kaptama Health Centre,,,,,,,,,,,,,,,
Kaptanai Dispensary,,35,1,4,4,,,,,,,,,,
Karambuna Medical Clinic,,,,,,,,,,,,,,,
Karima Dispensary (Bungoma),,59,8,17,6,,,,,,,,,,
Kayaya Dispensary,,8,2,5,2,,,,,,,,,,
Khachonge Dispensary,,,,,,,,,,,,,,,
Khalaba Medical Services,,,,,,,,,,,,,,,
Khalala Dispensary,,8,2,3,3,,,,,,,,,,
Khalumuli Dispensary,,15,,2,,,,,,,,,,,
Khamulati Medical Clinic,,,,,,,,,,,,,,,
Khaoya Dispensary,,9,,3,1,,,,,,,,,,
Khasoko Health Centre,,34,3,22,4,,,,,,,,,,
Khulwanda Dispensary,,,,,,,,,,,,,,,
Kibabii Health Centre,,21,,3,2,,,,,,,,,,
Kibabii University Medical Clinic,,,,,,,,,,,,,,,
Kibingei Dispensary,,4,1,3,1,,,,,,,,,,
Kibisi Dispensary,,61,2,28,4,,,,,,,,,,
Kibuke Dispensary,,57,1,11,1,,,,,,,,,,
Kimaeti Health centre,,179,12,58,6,,,,,,,,,,
Kimalewa Health Centre,,75,4,21,5,,,,,,,,,,
Kimilili Subcounty Hospital,,728,46,278,42,,,,,,,,,,
Kimu Memorial Hospital Bahai,,,,,,,,,,,,,,,
Kingdom Faith Based Hospital,,,,,,,,,,,,,,,
Kipsigon (FGC) Health Centre,,,,,,,,,,,,,,,
Kisawayi Dispensary,,,,,,,,,,,,,,,
Kitabisi Dispensary,,3,,1,1,,,,,,,,,,
Kituni Dispensary,,,,,,,,,,,,,,,
Koan Family Medical Centre,,,,,,,,,,,,,,,
Kolani Dispensary,,9,1,3,,,,,,,,,,,
Kongit Dispensary ,,,,,,,,,,,,,,,
Kongoli Dispensary,,4,,9,2,,,,,,,,,,
Kopsiro Model Health Centre,,68,7,21,4,,,,,,,,,,
Korosiandet Dispensary,,124,4,42,6,,,,,,,,,,
Kory Family HospitaI (Kimilili),,,,,,,,,,,,,,,
Kory Family Hospital,,,,,,,,,,,,,,,
Koshok Dispensary,,3,,2,,,,,,,,,,,
Kubura Dispensary,,,,,,,,,,,,,,,
Lugulu Friends Mission Hospital,1,1626,99,705,90,,,,,,,,,,
Lukhoba Dispensary Maraka,,,,,,,,,,,,,,,
Lukhokhwe Dispensary,,,,,,,,,,,,,,,
Lukhome Dispensary (Kabuchai),,29,2,10,3,,,,,,,,,,
Lukhuna Dispensary,1,53,2,9,2,,,,,,,,,,
Lukusi Dispensary,,7,,1,,,,,,,,,,,
Lumboka Medical Services,,6,,4,,,,,,,,,,,
Lunakwe Dispensary,,15,1,8,1,,,,,,,,,,
Lungai Dispensary,,,,,,,,,,,,,,,
Lurare Dispensary,,21,3,9,5,,,,,,,,,,
Luucho Dispensary,,,,,,,,,,,,,,,
Luuya Dispensary,,15,,,,,,,,,,,,,
Lwakhakha Dispensary,,,,,,,,,,,,,,,
Lwanda Health Centre (Kabuchai),,12,1,7,,,,,,,,,,,
Lwandanyi Dispensary,,37,5,15,1,,,,,,,,,,
Mabanga Medical Clinic,,,,,,,,,,,,,,,
Machakha Dispensary,,2,,2,,,,,,,,,,,
Machwele Dispensary,,50,5,19,4,,,,,,,,,,
Maendeleo Medical Clinic,,,,,,,,,,,,,,,
Maeni Dispensary,,22,2,3,1,,,,,,,,,,
Mahanga Dispensary,,7,,1,2,,,,,,,,,,
Makhanga Dispensary,1,12,1,6,,,,,,,,,,,
Makhonge Dispensary,,,,,,,,,,,,,,,
Makhonge Health Centre,,126,10,35,9,,,,,,,,,,
Makololwe Dispensary,,,,,,,,,,,,,,,
Makutano Health Centre,,169,15,45,7,,,,,,,,,,
Malakisi Health Centre,,238,13,92,11,,7,9,8,5,5,9,,224,87
Mangs Health Care Clinic,,,,,,,,,,,,,,,
Marie Stopes Kenya Bungoma Centre,,,,,,,,,,,,,,,
Marigo Dispensary,,,,,,,,,,,,,,,
Matisi Dispensary,,3,,,,,,,,,,,,,
Matulo Dispensary,,16,,6,3,,,,,,,,,,
MAXICARE SUNRISE HOSPITAL,,,,,,,,,,,,,,,
Mayanja Dispensary,,148,11,60,11,,,,,,,,,,
Mechimeru Model Health Center,1,212,14,61,16,,,,,,,,,,
Mercal Healthcare Bukembe,,,,,,,,,,,,,,,
Miendo Dispensary,,19,,5,2,,,,,,,,,,
Mihuu Dispensary,,65,2,15,10,,,,,,,,,,
Milo Health Centre,,90,9,25,7,,,,,,,,,,
Miluki Dispensary,,58,4,29,1,,,,,,,,,,
Misemwa Dispensary,,,,,,,,,,,,,,,
Misikhu Dispensary,,9,,3,1,,,,,,,,,,
Misikhu Medical Clinic,,,,,,,,,,,,,,,
Mission of Mercy Clinic,,30,,16,1,,,,,,,,,,
Mpeli Medical Clinic,,,,,,,,,,,,,,,
Mt Elgon Clinic,,,,,,,,,,,,,,,
Mt Elgon Sub County Hospital,,251,15,90,16,,,,,,,,,,
Muanda Dispensary,,13,,,,,,,,,,,,,
Mufutu Medical Clinic,,,,,,,,,,,,,,,
Mukhe Dispensary,,12,,3,1,,,,,,,,,,
Mukuyuni Dispensary,,,,,,,,,,,,,,,
Mukwa Dispensary,,6,,4,,,,,,,,,,,
Mulachi Dispensary,,,,,,,,,,,,,,,
Mumbule Dispensary,,48,2,14,2,,,,,,,,,,
Mungore dispensary,,,,,,,,,,,,,,,
Musco Clinic,,,,,,,,,,,,,,,
Musikoma Dispensary,,,,,,,,,,,,,,,
Mwikhupo Dispensary,,,,,,,,,,,,,,,
Mwomo Dispensary ,,,,,,,,,,,,,,,
Myanga Dispensary,,,,,,,,,,,,,,,
Myanga Nursing Home,,,,,,,,,,,,,,,
Nabuala Medical Centre,,,,,,,,,,,,,,,
Nabukhisa Dispensary,,,,,,,,,,,,,,,
Naitiri Sub County Hospital,,641,56,263,50,,,,,,,,,,
Nalondo Cbm Dispensary,,,,,,,,,,,,,,,
Nalondo Dispensary,,,,,,,,,,,,,,,
Nalondo Health Centre (Model),2,94,12,43,8,,,,,,,,,,
Namang'ofulo Dispensary,,,,,,,,,,,,,,,
Namarambi Dispensary,,,,,,,,,,,,,,,
Namirembe Dispensary,,,,,,,,,,,,,,,
Namwatikho Dispensary,,4,,3,,,,,,,,,,,
Namwaya Clinic,,,,,,,,,,,,,,,
Nasaka Dispensary,,,,,,,,,,,,,,,
Nasianda Health Centre,,72,,22,8,,,,,,,,,,
Nasusi Dispensary,,52,5,15,2,,,,,,,,,,
Ndalu Health Centre,,205,17,66,14,,,,,,,,,,
Ndengelwa Dispensary,1,8,1,1,,,,,,,,,,,
Ng'oli Dispensary,,,,,,,,,,,,,,,
Ngalasia Dispensary,,20,2,10,,,,,,,,,,,
Nzoia Medical Centre,,10,,10,,,,,,,,,,,
Nzoia Medical Centre (Chwele),,,,,,,,,,,,,,,
Nzoia Sugar Dispensary,,47,4,38,3,,,,,,,,,,
Oasis Doctors Plaza Webuye,,,,,,,,,,,,,,,
Open Heart Medical Centre,,,,,,,,,,,,,,,
Optimum Hill  Medical Centre,,,,,,,,,,,,,,,
Pan Paper Dispensary,,,,,,,,,,,,,,,
Paradise Medical Clinic (Cheptais),,,,,,,,,,,,,,,
Pevlink Services Ltd,,,,,,,,,,,,,,,
Phinal Community Medical Centre,,,,,,,,,,,,,,,
Pwani Dispensary,,,,,,,,,,,,,,,
Ranje Dispensary,,10,2,2,,,,,,,,,,,
Raytons Family Medical Centre,,,,,,,,,,,,,,,
Riley Hospitals Limited,,,,,,,,,,,,,,,
Ruanda Dispensary,,6,,1,,,,,,,,,,,
Sacha Health Centre,,13,,4,2,,,,,,,,,,
Sagitarix Ltd Medical Centre,,,,,,,,,,,,,,,
Sambocho Health Centre,,,,,,,,,,,,,,,
Samoya Dispensary,,,,,,,,,,,,,,,
Samoya Dispensary,,,,,,,,,,,,,,,
Sango Kabuyefwe Dispensary,,,,,,,,,,,,,,,
Sango Naitiri Dispensary,1,50,3,24,11,,,,,,,,,,
Selvine Medical Centre,,,,,,,,,,,,,,,
Siboti Model Health Centre,1,97,6,32,18,,,,,,,,,,
Sikotia Medical Centre(KAPTAMA),,,,,,,,,,,,,,,
Sikulu Dispensary,,64,10,26,11,,,,,,,,,,
Sikusi Dispensary,,17,2,6,2,,,,,,,,,,
Sinoko Dispensary (Bungoma East),,94,10,32,7,,,,,,,,,,
Sirakaru Dispensary,2,15,,3,1,,,,,,,,,,
Sirisia Sub County Hospital,1,224,15,84,19,,,,,,,,,,
Siritanyi Dispensary,,,,,,,,,,,,,,,
Sitikho Dispensary,,4,,3,1,,,,,,,,,,
Skovic,,,,,,,,,,,,,,,
Skovic Health Care services Kopsiro,,,,,,,,,,,,,,,
Soteni Dispensary,,,,,,,,,,,,,,,
Soysambu (ACK) Dispensary,,,,,,,,,,,,,,,
Spero Medical Services,,,,,,,,,,,,,,,
Spicas Medical Clinic,,,,,,,,,,,,,,,
Springwell Medical Clinic,,,,,,,,,,,,,,,
St Bakhita Mission,,15,,3,,,,,,,,,,,
St Boniface Mission Health Centre,,,,,,,,,,,,,,,
St Damiano Mission Hospital,,235,13,82,14,,,,,,,,,,
St Faustines Health Services,,,,,,,,,,,,,,,
St Thadeus Medical Clinic,,,,,,,,,,,,,,,
Sulwe Dispensary,,,,,,,,,,,,,,,
Sunrise Medical Centre (Bungoma),,,,,,,,,,,,,,,
Syria Medical Clinic,,,,,,,,,,,,,,,
Tabani Dispensary,,,,,,,,,,,,,,,
Talitia Dispensary,,1,,,1,,,,,,,,,,
Tamlega Dispensary,,43,1,9,6,,,,,,,,,,
The Dawameds Hospital Limited ,,,,,,,,,,,,,,,
The DawaMeds Hospital LTD -Sirisia,,,,,,,,,,,,,,,
The Hopkins Crescent Hospitals Limited,,,,,,,,,,,,,,,
The Webuye Hospital Limited,,,,,,,,,,,,,,,
Tongaren Model Health Centre,1,171,18,76,11,,,,,,,,,,
Trans Elgon Health Care Cheptais,,,,,,,,,,,,,,,
Traselgon Health Care- Kapsokwony,,,,,,,,,,,,,,,
Traselgon Health Care- Kapsokwony,,,,,,,,,,,,,,,
Tuikut Dispensary,,7,,3,1,,,,,,,,,,
Tulienge  Dispensary,,,,,,,,,,,,,,,
Tumaini Brigadier Medical Clinic,,,,,,,,,,,,,,,
Victoria Medical Clinic,,,,,,,,,,,,,,,
Victorious Living Ministries (Vlm) Dispensary,,,,,,,,,,,,,,,
Wanda Medical Centre,,,,,,,,,,,,,,,
Waraba Medica Centre,,,,,,,,,,,,,,,
Wasio Dispensary,,,,,,,,,,,,,,,
Webuye Health Centre,,76,1,8,,,,,,,,,,,
Webuye Hospital,,2446,84,987,88,,,,,,,,,,
Webuye Nursing Home,,,,,,,,,,,,,,,
Webuye Surgical,,,,,,,,,,,,,,,
Wema Centre Medical Laboratory,,,,,,,,,,,,,,,
Western Family Hospital,,,,,,,,,,,,,,,
Weyeta Medical Clinic,,,,,,,,,,,,,,,
Zion Medical Centre Bungoma,,,,,,,,,,,,,,,
