,,,,,,,,,,,,,,,
organisationunitname,October 2018 Currently on ART - below 1 year,October 2018 Currently on ART - Female above 15 years,October 2018 Currently on ART - Female Below 15 years,October 2018 Currently on ART - Male above 15 years,October 2018 Currently on ART - Male below 15 years,October 2018 MOH 731   On ART_<1       HV03-028,October 2018 MOH 731   On ART_1-9       HV03-029,October 2018 MOH 731   On ART_10-14  (F)         HV03-031,October 2018 MOH 731   On ART_10-14(M)         HV03-030,October 2018 MOH 731   On ART_15-19  (F)         HV03-033,October 2018 MOH 731   On ART_15-19(M)         HV03-032,October 2018 MOH 731   On ART_20-24  (F)         HV03-035,October 2018 MOH 731   On ART_20-24(M)         HV03-034,October 2018 MOH 731   On ART_25+  (F)         HV03-037,October 2018 MOH 731   On ART_25+(M)         HV03-036
Chebon Medical Clinic,,1,,,,,,,,,,,,,
Chebukaka Health Centre,,12,,6,2,,,,,,,,,,
Chebukutumi Dispensary,,3,,,,,,,,,,,,,
Chebukwabi Dispensary,,,,,,,,,,,,,,,
Checkpoint Royal Hope Medical Cl,,,,,,,,,,,,,,,
Chemoge Dispensary,,,,,,,,,,,,,,,
Chemses Dispensary,,,,,,,,,,,,,,,
Chemwa Bridge Dispensary,,34,1,13,1,,,,,,,,,,
Chemworemwo Dispensary,,1,,,,,,,,,,,,,
Chepkerer Dispensary,,1,,,,,,,,,,,,,
Chepkitale Dispensary,,,,,,,,,,,,,,,
Chepkube Dispensary,,12,,3,1,,,,,,,,,,
Cheptais Medical Clinic,,,,,,,,,,,,,,,
Cheptais Sub County Hospital,,350,32,133,23,,,,,,,,,,
Chesikaki Dispensary,,71,6,19,4,,,,,,,,,,
Chesinende Dispensary,,7,,1,,,,,,,,,,,
Chrizah Medical Clinic,,,,,,,,,,,,,,,
Chwele Friends Dispensary,,363,34,146,27,,,,,,,,,,
Chwele Sub County Hospital,2,424,25,146,29,,,,,,,,,,
Creadis HTC Centre,,,,,,,,,,,,,,,
Daraja Mungu Dispensary,,,,,,,,,,,,,,,
Domiciliary Health Care Medical Clinic,,,,,,,,,,,,,,,
Dunton Medical Care Centre,,,,,,,,,,,,,,,
Durham Medical Center- Webuye,,,,,,,,,,,,,,,
Ebenezer Nursing Home,,,,,,,,,,,,,,,
Edesa Medicare Bungoma,,,,,,,,,,,,,,,
Ekitale Dispensary,,49,2,9,4,,,,,,,,,,
Elgon View Medical Cottage,,77,,54,1,,,,,,,,,,
Elite Medical Clinic (Bungoma East),,,,,,,,,,,,,,,
Eluuya Dispensary,,,,,,,,,,,,,,,
Emmanuel Medical Clinic (Bungoma East),1,24,1,6,2,,,,,,,,,,
Fountain Healthcare Limited (Bungoma),,,,,,,,,,,,,,,
GK Prison Dispensary ( Bungoma South),,20,1,43,,,,,,,,,,,
Global Homecare Limited Medical Centre,,,,,,,,,,,,,,,
Grace Medical Care Centre,,,,,,,,,,,,,,,
Grassroot Community Health Services,,,,,,,,,,,,,,,
Highway Diagnostic Clinic,,,,,,,,,,,,,,,
Highway Medical Clinic (Bungoma East),,,,,,,,,,,,,,,
Holy Care Medical Clinic,,,,,,,,,,,,,,,
Huduma Center Bungoma,,,,,,,,,,,,,,,
ICFM Dreamland Mission Hospital,,89,5,40,3,,,,,,,,,,
Jaggery Medical Clinic,,3,,1,,,,,,,,,,,
Jordan Baptist Medical Clinic,,,,,,,,,,,,,,,
Kaborom Dispensary,,37,2,16,1,,,,,,,,,,
Kaboywo Dispensary,,20,2,6,1,,,,,,,,,,
Kabuchai Health Centre,,158,9,52,8,,,,,,,,,,
Kabula  Health Centre,,200,18,52,11,,,,,,,,,,
Kakimanyi Dispensary,,,,,,,,,,,,,,,
Kamasielo Dispensary,,7,,3,,,,,,,,,,,
kambini Dispensary,,2,,,,,,,,,,,,,
Kamenjo Dispensary,,11,1,2,,,,,,,,,,,
Kamukuywa (ACK) Dispensary,,54,9,14,9,,,,,,,,,,
Kamukuywa Dispensary,,72,4,14,7,,,,,,,,,,
Kamuneru Dispensary,,13,1,5,2,,,,,,,,,,
Kamusinde Dispensary,,,,,,,,,,,,,,,
Kanduyi Health Center (CWSK),,,,,,,,,,,,,,,
Kanganga Dispensary,,42,3,10,2,,,,,,,,,,
Kapchebon Dispensary,,,,,,,,,,,,,,,
Kapkateny Dispensary,,42,4,24,3,,,,,,,,,,
Kapkota Dispensary,,,,,,,,,,,,,,,
Kapsambu Dispensary,,8,3,5,,,,,,,,,,,
Kaptalelio Dispensary,,6,,3,,,,,,,,,,,
Kaptama (Friends) Health Centre,,63,4,22,7,,,,,,,,,,
Kaptama Health Centre,,,,,,,,,,,,,,,
Kaptanai Dispensary,,35,1,4,4,,,,,,,,,,
Karambuna Medical Clinic,,,,,,,,,,,,,,,
Karima Dispensary (Bungoma),,60,8,16,6,,,,,,,,,,
Kayaya Dispensary,,10,2,5,2,,,,,,,,,,
Khachonge Dispensary,,,,,,,,,,,,,,,
Khalaba Medical Services,,,,,,,,,,,,,,,
Khalala Dispensary,1,7,2,2,3,,,,,,,,,,
Khalumuli Dispensary,,13,,2,,,,,,,,,,,
Khamulati Medical Clinic,,,,,,,,,,,,,,,
Khaoya Dispensary,,9,,2,,,,,,,,,,,
Khasoko Health Centre,,46,4,12,,,,,,,,,,,
Khulwanda Dispensary,,,,,,,,,,,,,,,
Kibabii Health Centre,,13,,2,1,,,,,,,,,,
Kibabii University Medical Clinic,,,,,,,,,,,,,,,
Kibingei Dispensary,,4,1,2,1,,,,,,,,,,
Kibisi Dispensary,,67,5,23,6,,,,,,,,,,
Kibuke Dispensary,,58,1,10,2,,,,,,,,,,
Kimaeti Health centre,,180,11,60,6,,,,,,,,,,
Kimalewa Health Centre,,85,4,26,5,,,,,,,,,,
Kimilili Subcounty Hospital,1,742,44,262,43,,,,,,,,,,
Kimu Memorial Hospital Bahai,,,,,,,,,,,,,,,
Kingdom Faith Based Hospital,,,,,,,,,,,,,,,
Kipsigon (FGC) Health Centre,,,,,,,,,,,,,,,
Kisawayi Dispensary,,,,,,,,,,,,,,,
Kitabisi Dispensary,,3,,1,1,,,,,,,,,,
Kituni Dispensary,,,,,,,,,,,,,,,
Koan Family Medical Centre,,,,,,,,,,,,,,,
Kolani Dispensary,,7,,2,,,,,,,,,,,
Kongit Dispensary ,,,,,,,,,,,,,,,
Kongoli Dispensary,,8,,3,2,,,,,,,,,,
Kopsiro Model Health Centre,,64,7,21,5,,,,,,,,,,
Korosiandet Dispensary,,123,4,42,6,,,,,,,,,,
Kory Family HospitaI (Kimilili),,,,,,,,,,,,,,,
Kory Family Hospital,,,,,,,,,,,,,,,
Koshok Dispensary,,3,,2,,,,,,,,,,,
Kubura Dispensary,,,,,,,,,,,,,,,
Lugulu Friends Mission Hospital,1,1625,99,708,91,,,,,,,,,,
Lukhoba Dispensary Maraka,,,,,,,,,,,,,,,
Lukhokhwe Dispensary,,,,,,,,,,,,,,,
Lukhome Dispensary (Kabuchai),,29,2,10,3,,,,,,,,,,
Lukhuna Dispensary,1,53,2,9,2,,,,,,,,,,
Lukusi Dispensary,,7,,1,,,,,,,,,,,
Lumboka Medical Services,,4,,6,,,,,,,,,,,
Lunakwe Dispensary,,14,1,7,1,,,,,,,,,,
Lungai Dispensary,,,,,,,,,,,,,,,
Lurare Dispensary,,19,3,9,5,,,,,,,,,,
Luucho Dispensary,,,,,,,,,,,,,,,
Luuya Dispensary,,15,,,,,,,,,,,,,
Lwakhakha Dispensary,,,,,,,,,,,,,,,
Lwanda Health Centre (Kabuchai),,12,1,7,,,,,,,,,,,
Lwandanyi Dispensary,,38,5,14,2,,,,,,,,,,
Mabanga Medical Clinic,,,,,,,,,,,,,,,
Machakha Dispensary,,,,,,,,,,,,,,,
Machwele Dispensary,,46,5,18,4,,,,,,,,,,
Maendeleo Medical Clinic,,,,,,,,,,,,,,,
Maeni Dispensary,,22,2,3,1,,,,,,,,,,
Mahanga Dispensary,,8,,1,2,,,,,,,,,,
Makhanga Dispensary,,15,1,5,,,,,,,,,,,
Makhonge Dispensary,,,,,,,,,,,,,,,
Makhonge Health Centre,,134,10,33,10,,,,,,,,,,
Makololwe Dispensary,,,,,,,,,,,,,,,
Makutano Health Centre,,180,9,43,9,,,,,,,,,,
Malakisi Health Centre,,237,13,93,11,,7,9,8,5,6,8,1,224,86
Mangs Health Care Clinic,,,,,,,,,,,,,,,
Marie Stopes Kenya Bungoma Centre,,,,,,,,,,,,,,,
Marigo Dispensary,,,,,,,,,,,,,,,
Matisi Dispensary,,3,,,,,,,,,,,,,
Matulo Dispensary,,15,,6,3,,,,,,,,,,
MAXICARE SUNRISE HOSPITAL,,,,,,,,,,,,,,,
Mayanja Dispensary,,151,11,57,7,,,,,,,,,,
Mechimeru Model Health Center,1,216,9,71,6,,,,,,,,,,
Mercal Healthcare Bukembe,,,,,,,,,,,,,,,
Miendo Dispensary,,20,,4,2,,,,,,,,,,
Mihuu Dispensary,,65,2,14,11,,,,,,,,,,
Milo Health Centre,,88,9,24,7,,,,,,,,,,
Miluki Dispensary,,55,3,29,1,,,,,,,,,,
Misemwa Dispensary,,,,,,,,,,,,,,,
Misikhu Dispensary,,9,,3,1,,,,,,,,,,
Misikhu Medical Clinic,,,,,,,,,,,,,,,
Mission of Mercy Clinic,,27,,13,1,,,,,,,,,,
Mpeli Medical Clinic,,,,,,,,,,,,,,,
Mt Elgon Clinic,,,,,,,,,,,,,,,
Mt Elgon Sub County Hospital,,259,13,83,12,,,,,,,,,,
Muanda Dispensary,,13,,,,,,,,,,,,,
Mufutu Medical Clinic,,,,,,,,,,,,,,,
Mukhe Dispensary,,13,,3,1,,,,,,,,,,
Mukuyuni Dispensary,,,,,,,,,,,,,,,
Mukwa Dispensary,,6,,4,,,,,,,,,,,
Mulachi Dispensary,,,,,,,,,,,,,,,
Mumbule Dispensary,,48,2,14,2,,,,,,,,,,
Mungore dispensary,,,,,,,,,,,,,,,
Musco Clinic,,,,,,,,,,,,,,,
Musikoma Dispensary,,,,,,,,,,,,,,,
Mwikhupo Dispensary,,,,,,,,,,,,,,,
Mwomo Dispensary ,,,,,,,,,,,,,,,
Myanga Dispensary,,,,,,,,,,,,,,,
Myanga Nursing Home,,,,,,,,,,,,,,,
Nabuala Medical Centre,,,,,,,,,,,,,,,
Nabukhisa Dispensary,,,,,,,,,,,,,,,
Naitiri Sub County Hospital,,661,54,247,44,,,,,,,,,,
Nalondo Cbm Dispensary,,,,,,,,,,,,,,,
Nalondo Dispensary,,,,,,,,,,,,,,,
Nalondo Health Centre (Model),2,92,12,43,8,,,,,,,,,,
Namang'ofulo Dispensary,,,,,,,,,,,,,,,
Namarambi Dispensary,,,,,,,,,,,,,,,
Namirembe Dispensary,,,,,,,,,,,,,,,
Namwatikho Dispensary,,4,,2,,,,,,,,,,,
Namwaya Clinic,,,,,,,,,,,,,,,
Nasaka Dispensary,,,,,,,,,,,,,,,
Nasianda Health Centre,,69,,21,10,,,,,,,,,,
Nasusi Dispensary,,52,5,15,2,,,,,,,,,,
Ndalu Health Centre,,197,15,61,13,,,,,,,,,,
Ndengelwa Dispensary,1,8,1,,,,,,,,,,,,
Ng'oli Dispensary,,,,,,,,,,,,,,,
Ngalasia Dispensary,,18,2,10,,,,,,,,,,,
Nzoia Medical Centre,,11,,10,,,,,,,,,,,
Nzoia Medical Centre (Chwele),,,,,,,,,,,,,,,
Nzoia Sugar Dispensary,,52,4,40,3,,,,,,,,,,
Oasis Doctors Plaza Webuye,,,,,,,,,,,,,,,
Open Heart Medical Centre,,,,,,,,,,,,,,,
Optimum Hill  Medical Centre,,,,,,,,,,,,,,,
Pan Paper Dispensary,,,,,,,,,,,,,,,
Paradise Medical Clinic (Cheptais),,,,,,,,,,,,,,,
Pevlink Services Ltd,,,,,,,,,,,,,,,
Phinal Community Medical Centre,,,,,,,,,,,,,,,
Pwani Dispensary,,,,,,,,,,,,,,,
Ranje Dispensary,,9,2,2,,,,,,,,,,,
Raytons Family Medical Centre,,,,,,,,,,,,,,,
Riley Hospitals Limited,,,,,,,,,,,,,,,
Ruanda Dispensary,,6,,1,,,,,,,,,,,
Sacha Health Centre,,11,,3,2,,,,,,,,,,
Sagitarix Ltd Medical Centre,,,,,,,,,,,,,,,
Sambocho Health Centre,,,,,,,,,,,,,,,
Samoya Dispensary,,,,,,,,,,,,,,,
Samoya Dispensary,,,,,,,,,,,,,,,
Sango Kabuyefwe Dispensary,,,,,,,,,,,,,,,
Sango Naitiri Dispensary,1,50,3,23,11,,,,,,,,,,
Selvine Medical Centre,,,,,,,,,,,,,,,
Siboti Model Health Centre,1,96,6,32,18,,,,,,,,,,
Sikotia Medical Centre(KAPTAMA),,,,,,,,,,,,,,,
Sikulu Dispensary,,62,10,25,11,,,,,,,,,,
Sikusi Dispensary,,15,2,6,2,,,,,,,,,,
Sinoko Dispensary (Bungoma East),,90,6,30,7,,,,,,,,,,
Sirakaru Dispensary,2,13,,4,,,,,,,,,,,
Sirisia Sub County Hospital,,217,16,84,20,,,,,,,,,,
Siritanyi Dispensary,,,,,,,,,,,,,,,
Sitikho Dispensary,,3,,3,1,,,,,,,,,,
Skovic,,,,,,,,,,,,,,,
Skovic Health Care services Kopsiro,,,,,,,,,,,,,,,
Soteni Dispensary,,,,,,,,,,,,,,,
Soysambu (ACK) Dispensary,,,,,,,,,,,,,,,
Spero Medical Services,,,,,,,,,,,,,,,
Spicas Medical Clinic,,,,,,,,,,,,,,,
Springwell Medical Clinic,,,,,,,,,,,,,,,
St Bakhita Mission,,14,,3,,,,,,,,,,,
St Boniface Mission Health Centre,,,,,,,,,,,,,,,
St Damiano Mission Hospital,1,180,11,73,13,,,,,,,,,,
St Faustines Health Services,,,,,,,,,,,,,,,
St Thadeus Medical Clinic,,,,,,,,,,,,,,,
Sulwe Dispensary,,,,,,,,,,,,,,,
Sunrise Medical Centre (Bungoma),,,,,,,,,,,,,,,
Syria Medical Clinic,,,,,,,,,,,,,,,
Tabani Dispensary,,,,,,,,,,,,,,,
Talitia Dispensary,,1,,,1,,,,,,,,,,
Tamlega Dispensary,,42,3,8,6,,,,,,,,,,
The Dawameds Hospital Limited ,,,,,,,,,,,,,,,
The DawaMeds Hospital LTD -Sirisia,,,,,,,,,,,,,,,
The Hopkins Crescent Hospitals Limited,,,,,,,,,,,,,,,
The Webuye Hospital Limited,,,,,,,,,,,,,,,
Tongaren Model Health Centre,1,181,15,56,15,,,,,,,,,,
Trans Elgon Health Care Cheptais,,,,,,,,,,,,,,,
Traselgon Health Care- Kapsokwony,,,,,,,,,,,,,,,
Traselgon Health Care- Kapsokwony,,,,,,,,,,,,,,,
Tuikut Dispensary,,7,,3,1,,,,,,,,,,
Tulienge  Dispensary,,,,,,,,,,,,,,,
Tumaini Brigadier Medical Clinic,,,,,,,,,,,,,,,
Victoria Medical Clinic,,,,,,,,,,,,,,,
Victorious Living Ministries (Vlm) Dispensary,,,,,,,,,,,,,,,
Wanda Medical Centre,,,,,,,,,,,,,,,
Waraba Medica Centre,,,,,,,,,,,,,,,
Wasio Dispensary,,,,,,,,,,,,,,,
Webuye Health Centre,,65,1,9,,,,,,,,,,,
Webuye Hospital,1,2380,78,969,92,,,,,,,,,,
Webuye Nursing Home,,,,,,,,,,,,,,,
Webuye Surgical,,,,,,,,,,,,,,,
Wema Centre Medical Laboratory,,,,,,,,,,,,,,,
Western Family Hospital,,,,,,,,,,,,,,,
Weyeta Medical Clinic,,,,,,,,,,,,,,,
Zion Medical Centre Bungoma,,,,,,,,,,,,,,,
